"My cat is sleeping on the laptop.<br><i>so rahi hai = is sleeping</i>","Meri billi laptop pe so rahi hai.<br><i>so rahi hai = is sleeping</i>"
"The politician is lying about the money.<br><i>netaa = politician | jhooth bolna = to lie</i>","Netaa paise ke baare mein jhooth bol rahaa hai.<br><i>netaa = politician | jhooth bolna = to lie</i>"
"I am searching for my keys in the car.<br><i>chaabiyaan = keys | dhoondhna = to search</i>","Mein gaadi mein apni chaabiyaan dhoondh rahaa hoon.<br><i>chaabiyaan = keys | dhoondhna = to search</i>"
"She is hiding something from her boss.<br><i>chhupana = to hide</i>","Wo apne boss se kuch chhupaa rahi hai.<br><i>chhupana = to hide</i>"
"The thief is running from the police.<br><i>chor = thief | bhaagna = to run/flee</i>","Chor police se bhaag rahaa hai.<br><i>chor = thief | bhaagna = to run/flee</i>"
"Someone is knocking on my door at midnight.<br><i>aadhi raat = midnight | darwaaza = door | khatkhatana = to knock</i>","Koi aadhi raat ko mere darwaaze pe khatkhataa rahaa hai.<br><i>aadhi raat = midnight | darwaaza = door | khatkhatana = to knock</i>"
"His girlfriend is angry at him because of the lies.<br><i>jhooton = lies (oblique plural) | gussaa = angry</i>","Uski girlfriend jhooton ki wajah se us pe gussaa hai.<br><i>jhooton = lies (oblique plural) | gussaa = angry</i>"
"The waiter is bringing coffee for everyone.<br><i>laana = to bring</i>","Waiter sab ke liye coffee laa rahaa hai.<br><i>laana = to bring</i>"
"I am learning Hindi with my roommate.<br><i>seekhna = to learn</i>","Mein apne roommate ke saath Hindi seekh rahaa hoon.<br><i>seekhna = to learn</i>"
"They are arguing about politics in the office.<br><i>behas karna = to argue/debate</i>","Wo office mein politics ke baare mein behas kar rahe hain.<br><i>behas karna = to argue/debate</i>"
"The mechanic is fixing my scooter after the accident.<br><i>theek karna = to fix/repair</i>","Mechanic accident ke baad meri scooter theek kar rahaa hai.<br><i>theek karna = to fix/repair</i>"
"Who is sending these weird messages to you?<br><i>ajeeb = weird | bhejnaa = to send</i>","Ye ajeeb messages aapko kaun bhej rahaa hai?<br><i>ajeeb = weird | bhejnaa = to send</i>"
"Someone is stealing WiFi from the neighbors.<br><i>padosi = neighbor | churaana = to steal</i>","Koi padosiyon se WiFi churaa rahaa hai.<br><i>padosi = neighbor | churaana = to steal</i>"
"I am not trusting him after that incident.<br><i>ghatnaa = incident | bharosaa karnaa = to trust</i>","Mein us ghatnaa ke baad us par bharosaa nahi kar rahaa hoon.<br><i>ghatnaa = incident | bharosaa karnaa = to trust</i>"
"The landlord is asking for more rent from us.<br><i>makaan maalik = landlord | kiraayaa = rent | maangnaa = to ask for</i>","Makaan maalik ham se zyaadaa kiraayaa maang rahaa hai.<br><i>makaan maalik = landlord | kiraayaa = rent | maangnaa = to ask for</i>"
"The DJ is playing bad music at the party.<br><i>kharaab = bad (quality) | bajaanaa = to play (music)</i>","DJ party mein kharaab music bajaa rahaa hai.<br><i>kharaab = bad (quality) | bajaanaa = to play (music)</i>"
"I am ordering food for myself only.<br><i>sirf = only</i>","Mein sirf apne liye khaanaa order kar rahaa hoon.<br><i>sirf = only</i>"
"The rickshaw driver is fighting with the customer.<br><i>waalaa = person who does X | ladhnaa = to fight</i>","Rickshaw waalaa customer se ladh rahaa hai.<br><i>waalaa = person who does X | ladhnaa = to fight</i>"
"My neighbor's dog barks at everyone.<br><i>padosi = neighbor | bhaunknaa = to bark</i>","Mere padosi kaa kuttaa sab pe bhaunktaa hai.<br><i>padosi = neighbor | bhaunknaa = to bark</i>"
"We are planning a trip without telling anyone.<br><i>bataanaa = to tell | bataaye binaa = without telling</i>","Ham kisiko bataaye binaa trip plan kar rahe hain.<br><i>bataanaa = to tell | bataaye binaa = without telling</i>"
"Someone is making my coffee wrong every time.<br><i>galat = wrong | har baar = every time</i>","Koi har baar meri coffee galat banaa rahaa hai.<br><i>galat = wrong | har baar = every time</i>"
"Someone is spreading rumors about the actor.<br><i>afwaahein = rumors | failaanaa = to spread</i>","Koi actor ke baare mein afwaahein failaa rahaa hai.<br><i>afwaahein = rumors | failaanaa = to spread</i>"
larkaa + postposition =,larke (oblique singular)
kuttaa + ke liye =,kutte ke liye
Masculine -a noun + any postposition,changes to -e
Feminine singular + postposition,NO change (ladki ko)
Any plural noun + postposition,adds -on (ladkon / ladkiyon / gharon)
Main becomes ___ with ko,Mujhe (contracted) or Mujhko
Vo (he/she) becomes ___ with se,Us se
Vo (they) becomes ___ with ke baare mein,Unke baare mein
Kaun becomes ___ with ke saath,Kiske saath
Koi becomes ___ with ke liye,Kisike liye
Mera changes to ___ before oblique masculine noun,Mere (mere dost ko)
Ka/Ke/Ki agrees with...,the possessed object (not owner)
Apna is used when...,subject owns the object (Main apni gaadi)
Use vs Uska difference,Use = to him/her (dative) | Uska = his/her (possessive)
Ke paas for possession,Mere paas phone hai (I have a phone)
Ke paas for proximity,Mere paas aao (Come near me)
Ki wajah se vs Ke karan,Both = because of | wajah is feminine (ki) | karan is masculine (ke)
Tum takes verb...,ho (plural logic) - Tum kahan ho?
Aap takes verb...,hain (3rd person plural) - Aap kahan hain?
I like this (dative pattern),Mujhe ye pasand hai
I know how to swim (skill),Mujhe tairnaa aataa hai
I feel scared (sensation),Mujhe dar lagtaa hai
